[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.832] [SEVERE ] player 2 placing token on slot 0
[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.832] [SEVERE ] player 2 placing token on slot 0
[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.833] [SEVERE ] player 2 placing token on slot 0
[19:08:49.833] [SEVERE ] removing player 2 token from slot 0
[19:08:49.833] [SEVERE ] player 2 placing token on slot 0
[19:08:49.833] [SEVERE ] removing player 2 token from slot 0
[19:08:49.834] [SEVERE ] player 2 placing token on slot 0
[19:08:49.834] [SEVERE ] removing player 2 token from slot 0
[19:08:49.834] [SEVERE ] player 2 placing token on slot 0
[19:08:49.834] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
[19:08:49.835] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
[19:08:49.835] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
[19:08:49.836] [SEVERE ] removing player 2 token from slot 0
[19:08:49.836] [SEVERE ] player 2 placing token on slot 0
[19:08:49.836] [SEVERE ] removing player 2 token from slot 0
[19:08:49.837] [SEVERE ] player 2 placing token on slot 0
[19:08:49.837] [SEVERE ] removing player 2 token from slot 0
[19:08:49.837] [SEVERE ] player 2 placing token on slot 0
[19:08:49.837] [SEVERE ] removing player 2 token from slot 0
[19:08:49.837] [SEVERE ] player 2 placing token on slot 0
[19:08:49.839] [SEVERE ] removing player 2 token from slot 0
[19:08:49.839] [SEVERE ] player 2 placing token on slot 0
[19:08:49.840] [SEVERE ] removing player 2 token from slot 0
[19:08:49.840] [SEVERE ] player 2 placing token on slot 0
[19:08:49.840] [SEVERE ] removing player 2 token from slot 0
[19:08:49.840] [SEVERE ] player 2 placing token on slot 0
[19:08:49.840] [SEVERE ] removing player 2 token from slot 0
[19:08:49.840] [SEVERE ] player 2 placing token on slot 0
[19:08:49.841] [SEVERE ] removing player 2 token from slot 0
[19:08:49.841] [SEVERE ] player 2 placing token on slot 0
[19:08:49.841] [SEVERE ] removing player 2 token from slot 0
[19:08:49.841] [SEVERE ] player 2 placing token on slot 0
[19:08:49.841] [SEVERE ] removing player 2 token from slot 0
[19:08:49.841] [SEVERE ] player 2 placing token on slot 0
[19:08:49.842] [SEVERE ] removing player 2 token from slot 0
[19:08:49.842] [SEVERE ] player 2 placing token on slot 0
[19:08:49.842] [SEVERE ] removing player 2 token from slot 0
[19:08:49.842] [SEVERE ] player 2 placing token on slot 0
[19:08:49.842] [SEVERE ] removing player 2 token from slot 0
[19:08:49.843] [SEVERE ] player 2 placing token on slot 0
[19:08:49.843] [SEVERE ] removing player 2 token from slot 0
[19:08:49.843] [SEVERE ] player 2 placing token on slot 0
[19:08:49.843] [SEVERE ] removing player 2 token from slot 0
[19:08:49.843] [SEVERE ] player 2 placing token on slot 0
[19:08:49.844] [SEVERE ] removing player 2 token from slot 0
[19:08:49.844] [SEVERE ] player 2 placing token on slot 0
[19:08:49.845] [SEVERE ] removing player 2 token from slot 0
[19:08:49.845] [SEVERE ] player 2 placing token on slot 0
[19:08:49.845] [SEVERE ] removing player 2 token from slot 0
[19:08:49.845] [SEVERE ] player 2 placing token on slot 0
[19:08:49.846] [SEVERE ] removing player 2 token from slot 0
[19:08:49.846] [SEVERE ] player 2 placing token on slot 0
[19:08:49.846] [SEVERE ] removing player 2 token from slot 0
[19:08:49.846] [SEVERE ] player 2 placing token on slot 0
[19:08:49.846] [SEVERE ] removing player 2 token from slot 0
[19:08:49.846] [SEVERE ] player 2 placing token on slot 0
[19:08:49.846] [SEVERE ] removing player 2 token from slot 0
[19:08:49.846] [SEVERE ] player 2 placing token on slot 0
[19:08:49.847] [SEVERE ] removing player 2 token from slot 0
[19:08:49.847] [SEVERE ] player 2 placing token on slot 0
[19:08:49.847] [SEVERE ] removing player 2 token from slot 0
[19:08:49.847] [SEVERE ] player 2 placing token on slot 0
[19:08:49.847] [SEVERE ] removing player 2 token from slot 0
[19:08:49.847] [SEVERE ] player 2 placing token on slot 0
[19:08:49.847] [SEVERE ] removing player 2 token from slot 0
[19:08:49.848] [SEVERE ] player 2 placing token on slot 0
[19:08:49.848] [SEVERE ] removing player 2 token from slot 0
[19:08:49.848] [SEVERE ] player 2 placing token on slot 0
[19:08:49.848] [SEVERE ] removing player 2 token from slot 0
[19:08:49.849] [SEVERE ] player 2 placing token on slot 0
[19:08:49.849] [SEVERE ] removing player 2 token from slot 0
[19:08:49.849] [SEVERE ] player 2 placing token on slot 0
[19:08:49.850] [SEVERE ] removing player 2 token from slot 0
[19:08:49.850] [SEVERE ] player 2 placing token on slot 0
[19:08:49.850] [SEVERE ] removing player 2 token from slot 0
[19:08:49.851] [SEVERE ] player 2 placing token on slot 0
[19:08:49.851] [SEVERE ] removing player 2 token from slot 0
[19:08:49.851] [SEVERE ] player 2 placing token on slot 0
[19:08:49.852] [SEVERE ] removing player 2 token from slot 0
[19:08:49.852] [SEVERE ] player 2 placing token on slot 0
[19:08:49.852] [SEVERE ] removing player 2 token from slot 0
[19:08:49.853] [SEVERE ] player 2 placing token on slot 0
[19:08:49.853] [SEVERE ] removing player 2 token from slot 0
[19:08:49.854] [SEVERE ] player 2 placing token on slot 0
[19:08:49.854] [SEVERE ] removing player 2 token from slot 0
[19:08:49.854] [SEVERE ] player 2 placing token on slot 0
[19:08:49.855] [SEVERE ] removing player 2 token from slot 0
[19:08:49.855] [SEVERE ] player 2 placing token on slot 0
[19:08:49.855] [SEVERE ] removing player 2 token from slot 0
[19:08:49.856] [SEVERE ] player 2 placing token on slot 0
[19:08:49.857] [SEVERE ] removing player 2 token from slot 0
[19:08:49.857] [SEVERE ] player 2 placing token on slot 0
[19:08:49.857] [SEVERE ] removing player 2 token from slot 0
[19:08:49.857] [SEVERE ] player 2 placing token on slot 0
[19:08:49.857] [SEVERE ] removing player 2 token from slot 0
[19:08:49.860] [SEVERE ] player 2 placing token on slot 0
[19:08:49.860] [SEVERE ] removing player 2 token from slot 0
[19:08:49.861] [SEVERE ] player 2 placing token on slot 0
[19:08:49.861] [SEVERE ] removing player 2 token from slot 0
[19:08:49.861] [SEVERE ] player 2 placing token on slot 0
[19:08:49.861] [SEVERE ] removing player 2 token from slot 0
[19:08:49.862] [SEVERE ] player 2 placing token on slot 0
[19:08:49.862] [SEVERE ] removing player 2 token from slot 0
[19:08:49.862] [SEVERE ] player 2 placing token on slot 0
[19:08:49.862] [SEVERE ] removing player 2 token from slot 0
[19:08:49.862] [SEVERE ] player 2 placing token on slot 0
[19:08:49.863] [SEVERE ] removing player 2 token from slot 0
[19:08:49.863] [SEVERE ] player 2 placing token on slot 0
[19:08:49.863] [SEVERE ] removing player 2 token from slot 0
[19:08:49.863] [SEVERE ] player 2 placing token on slot 0
[19:08:49.863] [SEVERE ] removing player 2 token from slot 0
[19:08:49.863] [SEVERE ] player 2 placing token on slot 0
[19:08:49.864] [SEVERE ] removing player 2 token from slot 0
[19:08:49.864] [SEVERE ] player 2 placing token on slot 0
[19:08:49.864] [SEVERE ] removing player 2 token from slot 0
[19:08:49.864] [SEVERE ] player 2 placing token on slot 0
[19:08:49.865] [SEVERE ] removing player 2 token from slot 0
[19:08:49.865] [SEVERE ] player 2 placing token on slot 0
[19:08:49.865] [SEVERE ] removing player 2 token from slot 0
[19:08:49.865] [SEVERE ] player 2 placing token on slot 0
[19:08:49.866] [SEVERE ] removing player 2 token from slot 0
[19:08:49.866] [SEVERE ] player 2 placing token on slot 0
[19:08:49.866] [SEVERE ] removing player 2 token from slot 0
[19:08:49.866] [SEVERE ] player 2 placing token on slot 0
[19:08:49.866] [SEVERE ] removing player 2 token from slot 0
[19:08:49.868] [SEVERE ] player 2 placing token on slot 0
[19:08:49.868] [SEVERE ] removing player 2 token from slot 0
[19:08:49.868] [SEVERE ] player 2 placing token on slot 0
[19:08:49.868] [SEVERE ] removing player 2 token from slot 0
[19:08:49.868] [SEVERE ] player 2 placing token on slot 0
[19:08:49.868] [SEVERE ] removing player 2 token from slot 0
[19:08:49.869] [SEVERE ] player 2 placing token on slot 0
[19:08:49.869] [SEVERE ] removing player 2 token from slot 0
[19:08:49.870] [SEVERE ] player 2 placing token on slot 0
[19:08:49.870] [SEVERE ] removing player 2 token from slot 0
[19:08:49.870] [SEVERE ] player 2 placing token on slot 0
[19:08:49.870] [SEVERE ] removing player 2 token from slot 0
[19:08:49.870] [SEVERE ] player 2 placing token on slot 0
[19:08:49.870] [SEVERE ] removing player 2 token from slot 0
[19:08:49.871] [SEVERE ] player 2 placing token on slot 0
[19:08:49.871] [SEVERE ] removing player 2 token from slot 0
[19:08:49.871] [SEVERE ] player 2 placing token on slot 0
[19:08:49.871] [SEVERE ] removing player 2 token from slot 0
[19:08:49.871] [SEVERE ] player 2 placing token on slot 0
[19:08:49.871] [SEVERE ] removing player 2 token from slot 0
[19:08:49.871] [SEVERE ] player 2 placing token on slot 0
[19:08:49.871] [SEVERE ] removing player 2 token from slot 0
[19:08:49.871] [SEVERE ] player 2 placing token on slot 0
[19:08:49.872] [SEVERE ] removing player 2 token from slot 0
[19:08:49.872] [SEVERE ] player 2 placing token on slot 0
[19:08:49.872] [SEVERE ] removing player 2 token from slot 0
[19:08:49.872] [SEVERE ] player 2 placing token on slot 0
[19:08:49.872] [SEVERE ] removing player 2 token from slot 0
[19:08:49.872] [SEVERE ] player 2 placing token on slot 0
[19:08:49.872] [SEVERE ] removing player 2 token from slot 0
[19:08:49.872] [SEVERE ] player 2 placing token on slot 0
[19:08:49.873] [SEVERE ] removing player 2 token from slot 0
[19:08:49.873] [SEVERE ] player 2 placing token on slot 0
[19:08:49.873] [SEVERE ] removing player 2 token from slot 0
[19:08:49.873] [SEVERE ] player 2 placing token on slot 0
