[20:52:20.433] [INFO   ] thread bguspl.set.Main.main() starting.
[20:52:20.438] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:52:20.439] [SEVERE ] configuration file was loaded from resources directory.
[20:52:21.295] [SEVERE ] player 2 placing token on slot 2
[20:52:21.296] [SEVERE ] removing player 2 token from slot 2
[20:52:21.296] [SEVERE ] player 2 placing token on slot 2
[20:52:21.297] [SEVERE ] removing player 2 token from slot 2
[20:52:21.297] [SEVERE ] player 2 placing token on slot 2
[20:52:21.297] [SEVERE ] removing player 2 token from slot 2
[20:52:21.298] [SEVERE ] player 2 placing token on slot 2
[20:52:21.298] [SEVERE ] removing player 2 token from slot 2
[20:52:21.298] [SEVERE ] player 2 placing token on slot 2
[20:52:21.299] [SEVERE ] removing player 2 token from slot 2
[20:52:21.299] [SEVERE ] player 2 placing token on slot 2
[20:52:21.299] [SEVERE ] removing player 2 token from slot 2
[20:52:21.300] [SEVERE ] player 2 placing token on slot 2
[20:52:21.300] [SEVERE ] removing player 2 token from slot 2
[20:52:21.300] [SEVERE ] player 2 placing token on slot 2
[20:52:21.300] [SEVERE ] removing player 2 token from slot 2
[20:52:21.301] [SEVERE ] player 2 placing token on slot 2
[20:52:21.301] [SEVERE ] removing player 2 token from slot 2
[20:52:21.302] [SEVERE ] player 2 placing token on slot 2
[20:52:21.302] [SEVERE ] removing player 2 token from slot 2
[20:52:21.302] [SEVERE ] player 2 placing token on slot 2
[20:52:21.302] [SEVERE ] removing player 2 token from slot 2
[20:52:21.303] [SEVERE ] player 2 placing token on slot 2
[20:52:21.303] [SEVERE ] removing player 2 token from slot 2
[20:52:21.303] [SEVERE ] player 2 placing token on slot 2
[20:52:21.303] [SEVERE ] removing player 2 token from slot 2
[20:52:21.303] [SEVERE ] player 2 placing token on slot 2
[20:52:21.304] [SEVERE ] removing player 2 token from slot 2
[20:52:21.304] [SEVERE ] player 2 placing token on slot 2
[20:52:21.304] [SEVERE ] removing player 2 token from slot 2
[20:52:21.304] [SEVERE ] player 2 placing token on slot 2
[20:52:21.304] [SEVERE ] removing player 2 token from slot 2
[20:52:21.305] [SEVERE ] player 2 placing token on slot 2
[20:52:21.305] [SEVERE ] removing player 2 token from slot 2
[20:52:21.305] [SEVERE ] player 2 placing token on slot 2
[20:52:21.305] [SEVERE ] removing player 2 token from slot 2
[20:52:21.306] [SEVERE ] player 2 placing token on slot 2
[20:52:21.306] [SEVERE ] removing player 2 token from slot 2
[20:52:21.306] [SEVERE ] player 2 placing token on slot 2
[20:52:21.306] [SEVERE ] removing player 2 token from slot 2
[20:52:21.306] [SEVERE ] player 2 placing token on slot 2
[20:52:21.307] [SEVERE ] removing player 2 token from slot 2
[20:52:21.307] [SEVERE ] player 2 placing token on slot 2
[20:52:21.307] [SEVERE ] removing player 2 token from slot 2
[20:52:21.308] [SEVERE ] player 2 placing token on slot 2
[20:52:21.309] [SEVERE ] removing player 2 token from slot 2
[20:52:21.310] [SEVERE ] player 2 placing token on slot 2
[20:52:21.310] [SEVERE ] removing player 2 token from slot 2
[20:52:21.310] [SEVERE ] player 2 placing token on slot 2
[20:52:21.310] [SEVERE ] removing player 2 token from slot 2
[20:52:21.311] [SEVERE ] player 2 placing token on slot 2
[20:52:21.311] [SEVERE ] removing player 2 token from slot 2
[20:52:21.311] [SEVERE ] player 2 placing token on slot 2
[20:52:21.311] [SEVERE ] removing player 2 token from slot 2
[20:52:21.312] [SEVERE ] player 2 placing token on slot 2
[20:52:21.312] [SEVERE ] removing player 2 token from slot 2
[20:52:21.312] [SEVERE ] player 2 placing token on slot 2
[20:52:21.313] [SEVERE ] removing player 2 token from slot 2
[20:52:21.313] [SEVERE ] player 2 placing token on slot 2
[20:52:21.314] [SEVERE ] removing player 2 token from slot 2
[20:52:21.314] [SEVERE ] player 2 placing token on slot 2
[20:52:21.314] [SEVERE ] removing player 2 token from slot 2
[20:52:21.314] [SEVERE ] player 2 placing token on slot 2
[20:52:21.315] [SEVERE ] removing player 2 token from slot 2
[20:52:21.315] [SEVERE ] player 2 placing token on slot 2
[20:52:21.316] [SEVERE ] removing player 2 token from slot 2
[20:52:21.316] [SEVERE ] player 2 placing token on slot 2
[20:52:21.316] [SEVERE ] removing player 2 token from slot 2
[20:52:21.316] [SEVERE ] player 2 placing token on slot 2
[20:52:21.317] [SEVERE ] removing player 2 token from slot 2
[20:52:21.317] [SEVERE ] player 2 placing token on slot 2
[20:52:21.317] [SEVERE ] removing player 2 token from slot 2
[20:52:21.317] [SEVERE ] player 2 placing token on slot 2
[20:52:21.317] [SEVERE ] removing player 2 token from slot 2
[20:52:21.318] [SEVERE ] player 2 placing token on slot 2
[20:52:21.318] [SEVERE ] removing player 2 token from slot 2
[20:52:21.318] [SEVERE ] player 2 placing token on slot 2
[20:52:21.318] [SEVERE ] removing player 2 token from slot 2
[20:52:21.318] [SEVERE ] player 2 placing token on slot 2
[20:52:21.318] [SEVERE ] removing player 2 token from slot 2
[20:52:21.318] [SEVERE ] player 2 placing token on slot 2
[20:52:21.318] [SEVERE ] removing player 2 token from slot 2
[20:52:21.319] [SEVERE ] player 2 placing token on slot 2
[20:52:21.319] [SEVERE ] removing player 2 token from slot 2
[20:52:21.319] [SEVERE ] player 2 placing token on slot 2
[20:52:21.319] [SEVERE ] removing player 2 token from slot 2
[20:52:21.320] [SEVERE ] player 2 placing token on slot 2
[20:52:21.320] [SEVERE ] removing player 2 token from slot 2
[20:52:21.320] [SEVERE ] player 2 placing token on slot 2
[20:52:21.320] [SEVERE ] removing player 2 token from slot 2
[20:52:21.320] [SEVERE ] player 2 placing token on slot 2
[20:52:21.320] [SEVERE ] removing player 2 token from slot 2
[20:52:21.320] [SEVERE ] player 2 placing token on slot 2
[20:52:21.320] [SEVERE ] removing player 2 token from slot 2
[20:52:21.321] [SEVERE ] player 2 placing token on slot 2
[20:52:21.321] [SEVERE ] removing player 2 token from slot 2
[20:52:21.321] [SEVERE ] player 2 placing token on slot 2
[20:52:21.321] [SEVERE ] removing player 2 token from slot 2
[20:52:21.322] [SEVERE ] player 2 placing token on slot 2
[20:52:21.322] [SEVERE ] removing player 2 token from slot 2
[20:52:21.322] [SEVERE ] player 2 placing token on slot 2
[20:52:21.322] [SEVERE ] removing player 2 token from slot 2
[20:52:21.322] [SEVERE ] player 2 placing token on slot 2
[20:52:21.323] [SEVERE ] removing player 2 token from slot 2
[20:52:21.323] [SEVERE ] player 2 placing token on slot 2
[20:52:21.323] [SEVERE ] removing player 2 token from slot 2
[20:52:21.323] [SEVERE ] player 2 placing token on slot 2
[20:52:21.324] [SEVERE ] removing player 2 token from slot 2
[20:52:21.324] [SEVERE ] player 2 placing token on slot 2
[20:52:21.324] [SEVERE ] removing player 2 token from slot 2
[20:52:21.324] [SEVERE ] player 2 placing token on slot 2
[20:52:21.324] [SEVERE ] removing player 2 token from slot 2
[20:52:21.325] [SEVERE ] player 2 placing token on slot 2
[20:52:21.325] [SEVERE ] removing player 2 token from slot 2
[20:52:21.325] [SEVERE ] player 2 placing token on slot 2
[20:52:21.325] [SEVERE ] removing player 2 token from slot 2
[20:52:21.325] [SEVERE ] player 2 placing token on slot 2
[20:52:21.325] [SEVERE ] removing player 2 token from slot 2
[20:52:21.325] [SEVERE ] player 2 placing token on slot 2
[20:52:21.325] [SEVERE ] removing player 2 token from slot 2
[20:52:21.326] [SEVERE ] player 2 placing token on slot 2
[20:52:21.326] [SEVERE ] removing player 2 token from slot 2
[20:52:21.326] [SEVERE ] player 2 placing token on slot 2
[20:52:21.326] [SEVERE ] removing player 2 token from slot 2
[20:52:21.326] [SEVERE ] player 2 placing token on slot 2
[20:52:21.326] [SEVERE ] removing player 2 token from slot 2
[20:52:21.326] [SEVERE ] player 2 placing token on slot 2
[20:52:21.327] [SEVERE ] removing player 2 token from slot 2
[20:52:21.327] [SEVERE ] player 2 placing token on slot 2
[20:52:21.327] [SEVERE ] removing player 2 token from slot 2
[20:52:21.327] [SEVERE ] player 2 placing token on slot 2
[20:52:21.328] [SEVERE ] removing player 2 token from slot 2
[20:52:21.328] [SEVERE ] player 2 placing token on slot 2
[20:52:21.328] [SEVERE ] removing player 2 token from slot 2
[20:52:21.328] [SEVERE ] player 2 placing token on slot 2
[20:52:21.329] [SEVERE ] removing player 2 token from slot 2
[20:52:21.329] [SEVERE ] player 2 placing token on slot 2
[20:52:21.329] [SEVERE ] removing player 2 token from slot 2
[20:52:21.329] [SEVERE ] player 2 placing token on slot 2
[20:52:21.329] [SEVERE ] removing player 2 token from slot 2
[20:52:21.329] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.330] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.330] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.330] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.330] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.330] [SEVERE ] player 2 placing token on slot 2
[20:52:21.330] [SEVERE ] removing player 2 token from slot 2
[20:52:21.332] [SEVERE ] player 2 placing token on slot 2
[20:52:21.332] [SEVERE ] placing card 0 in slot 1
[20:52:21.332] [SEVERE ] player 2 placing token on slot 1
[20:52:21.332] [SEVERE ] removing player 2 token from slot 1
[20:52:21.332] [SEVERE ] player 2 placing token on slot 1
[20:52:21.332] [SEVERE ] removing player 2 token from slot 1
[20:52:21.332] [SEVERE ] removing player 2 token from slot 2
[20:52:21.332] [SEVERE ] player 2 placing token on slot 1
[20:52:21.333] [SEVERE ] player 2 placing token on slot 2
[20:52:21.333] [SEVERE ] removing player 2 token from slot 1
[20:52:21.333] [SEVERE ] player 2 placing token on slot 1
[20:52:21.333] [SEVERE ] removing player 2 token from slot 2
[20:52:21.333] [SEVERE ] removing player 2 token from slot 1
[20:52:21.333] [SEVERE ] player 2 placing token on slot 2
[20:52:21.333] [SEVERE ] removing player 2 token from slot 2
[20:52:21.333] [SEVERE ] player 2 placing token on slot 2
[20:52:21.333] [SEVERE ] removing player 2 token from slot 2
[20:52:21.333] [SEVERE ] player 2 placing token on slot 1
[20:52:21.333] [SEVERE ] removing player 2 token from slot 1
[20:52:21.333] [SEVERE ] player 2 placing token on slot 2
[20:52:21.333] [SEVERE ] player 2 placing token on slot 1
[20:52:21.334] [SEVERE ] removing player 2 token from slot 1
[20:52:21.334] [SEVERE ] player 2 placing token on slot 1
[20:52:21.334] [SEVERE ] removing player 2 token from slot 2
[20:52:21.334] [SEVERE ] removing player 2 token from slot 1
[20:52:21.334] [SEVERE ] player 2 placing token on slot 1
[20:52:21.334] [SEVERE ] removing player 2 token from slot 1
[20:52:21.334] [SEVERE ] player 2 placing token on slot 1
[20:52:21.335] [SEVERE ] player 2 placing token on slot 2
[20:52:21.335] [SEVERE ] removing player 2 token from slot 2
[20:52:21.335] [SEVERE ] removing player 2 token from slot 1
[20:52:21.335] [SEVERE ] player 2 placing token on slot 2
[20:52:21.335] [SEVERE ] removing player 2 token from slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 2
[20:52:21.336] [SEVERE ] removing player 2 token from slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 2
[20:52:21.336] [SEVERE ] removing player 2 token from slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 1
[20:52:21.336] [SEVERE ] removing player 2 token from slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 2
[20:52:21.336] [SEVERE ] removing player 2 token from slot 2
[20:52:21.336] [SEVERE ] player 2 placing token on slot 2
[20:52:21.336] [SEVERE ] removing player 2 token from slot 1
[20:52:21.337] [SEVERE ] removing player 2 token from slot 2
[20:52:21.337] [SEVERE ] player 2 placing token on slot 1
[20:52:21.337] [SEVERE ] removing player 2 token from slot 1
[20:52:21.337] [SEVERE ] player 2 placing token on slot 1
[20:52:21.338] [SEVERE ] player 2 placing token on slot 2
[20:52:21.338] [SEVERE ] removing player 2 token from slot 1
[20:52:21.338] [SEVERE ] removing player 2 token from slot 2
[20:52:21.338] [SEVERE ] player 2 placing token on slot 2
[20:52:21.338] [SEVERE ] player 2 placing token on slot 1
[20:52:21.338] [SEVERE ] removing player 2 token from slot 1
[20:52:21.338] [SEVERE ] removing player 2 token from slot 2
[20:52:21.338] [SEVERE ] player 2 placing token on slot 1
[20:52:21.338] [SEVERE ] player 2 placing token on slot 2
[20:52:21.339] [SEVERE ] removing player 2 token from slot 2
[20:52:21.339] [SEVERE ] player 2 placing token on slot 2
[20:52:21.339] [SEVERE ] removing player 2 token from slot 1
[20:52:21.339] [SEVERE ] removing player 2 token from slot 2
[20:52:21.339] [SEVERE ] player 2 placing token on slot 1
[20:52:21.339] [SEVERE ] removing player 2 token from slot 1
[20:52:21.339] [SEVERE ] player 2 placing token on slot 2
[20:52:21.339] [SEVERE ] player 2 placing token on slot 1
[20:52:21.339] [SEVERE ] removing player 2 token from slot 1
[20:52:21.340] [SEVERE ] removing player 2 token from slot 2
[20:52:21.340] [SEVERE ] player 2 placing token on slot 2
[20:52:21.340] [SEVERE ] player 2 placing token on slot 1
[20:52:21.341] [SEVERE ] removing player 2 token from slot 1
[20:52:21.341] [SEVERE ] player 2 placing token on slot 1
[20:52:21.341] [SEVERE ] removing player 2 token from slot 1
[20:52:21.341] [SEVERE ] removing player 2 token from slot 2
[20:52:21.341] [SEVERE ] player 2 placing token on slot 1
[20:52:21.342] [SEVERE ] player 2 placing token on slot 2
[20:52:21.342] [SEVERE ] removing player 2 token from slot 2
[20:52:21.342] [SEVERE ] removing player 2 token from slot 1
[20:52:21.342] [SEVERE ] player 2 placing token on slot 2
[20:52:21.342] [SEVERE ] removing player 2 token from slot 2
[20:52:21.342] [SEVERE ] player 2 placing token on slot 2
[20:52:21.342] [SEVERE ] removing player 2 token from slot 2
[20:52:21.342] [SEVERE ] player 2 placing token on slot 1
[20:52:21.343] [SEVERE ] removing player 2 token from slot 1
[20:52:21.343] [SEVERE ] player 2 placing token on slot 1
[20:52:21.343] [SEVERE ] player 2 placing token on slot 2
[20:52:21.343] [SEVERE ] removing player 2 token from slot 1
[20:52:21.343] [SEVERE ] player 2 placing token on slot 1
[20:52:21.343] [SEVERE ] removing player 2 token from slot 1
[20:52:21.343] [SEVERE ] player 2 placing token on slot 1
[20:52:21.344] [SEVERE ] removing player 2 token from slot 1
[20:52:21.344] [SEVERE ] removing player 2 token from slot 2
[20:52:21.344] [SEVERE ] player 2 placing token on slot 1
[20:52:21.344] [SEVERE ] removing player 2 token from slot 1
[20:52:21.344] [SEVERE ] player 2 placing token on slot 2
[20:52:21.344] [SEVERE ] player 2 placing token on slot 1
[20:52:21.345] [SEVERE ] removing player 2 token from slot 1
[20:52:21.345] [SEVERE ] removing player 2 token from slot 2
[20:52:21.345] [SEVERE ] player 2 placing token on slot 2
[20:52:21.345] [SEVERE ] removing player 2 token from slot 2
[20:52:21.345] [SEVERE ] player 2 placing token on slot 1
[20:52:21.346] [SEVERE ] player 2 placing token on slot 2
[20:52:21.346] [SEVERE ] removing player 2 token from slot 1
[20:52:21.346] [SEVERE ] player 2 placing token on slot 1
[20:52:21.346] [SEVERE ] removing player 2 token from slot 2
